task,image_path,style_split,ground_truth,correct_style_correct_score,correct_style_max_wrong_score,correct_style_margin,near_miss_correct_score,near_miss_max_wrong_score,near_miss_margin,wrong_style_correct_score,wrong_style_max_wrong_score,wrong_style_margin
sleeve,/content/deepfashion_data/img_highres/Textured_Maxi_Cardigan/img_00000005.jpg,less_curated,sleeveless,0.24661235511302948,0.2406884729862213,0.0059238821268081665,0.2741767466068268,0.25589191913604736,0.01828482747077942,0.21376070380210876,0.25895774364471436,-0.04519703984260559
sleeve,/content/deepfashion_data/img_highres/Racerback_Tank/img_00000014.jpg,less_curated,sleeveless,0.33135154843330383,0.3110056221485138,0.02034592628479004,0.33388206362724304,0.3130928575992584,0.02078920602798462,0.25999292731285095,0.25889092683792114,0.0011020004749298096
sleeve,/content/deepfashion_data/img_highres/Sheer_Back_Tee/img_00000030.jpg,less_curated,short sleeve,0.2949502468109131,0.2633848488330841,0.03156539797782898,0.2781798839569092,0.28165143728256226,-0.003471553325653076,0.22977963089942932,0.23749183118343353,-0.007712200284004211
sleeve,/content/deepfashion_data/img_highres/Geo_Elephant_Print_Tee/img_00000035.jpg,less_curated,short sleeve,0.28405919671058655,0.26421937346458435,0.019839823246002197,0.2795630097389221,0.28778520226478577,-0.008222192525863647,0.23588506877422333,0.26479098200798035,-0.02890591323375702
sleeve,/content/deepfashion_data/img_highres/Boxy_Split-Neck_Blouse/img_00000003.jpg,catalog_like,long sleeve,0.28861698508262634,0.29246172308921814,-0.003844738006591797,0.3012544810771942,0.3165202736854553,-0.015265792608261108,0.26122263073921204,0.29326504468917847,-0.03204241394996643
sleeve,/content/deepfashion_data/img_highres/Nautical-Striped_Cotton_Tee/img_00000016.jpg,less_curated,long sleeve,0.27961966395378113,0.26655879616737366,0.01306086778640747,0.25519001483917236,0.2740284204483032,-0.01883840560913086,0.2937298119068146,0.2139173448085785,0.07981246709823608
sleeve,/content/deepfashion_data/img_highres/Life_In_Progress_Abstract_Print_Chambray_Tank/img_00000011.jpg,catalog_like,sleeveless,0.277187705039978,0.26868104934692383,0.0085066556930542,0.29920271039009094,0.2748066484928131,0.024396061897277832,0.2770327925682068,0.257827490568161,0.019205302000045776
sleeve,/content/deepfashion_data/img_highres/Cutout-Back_Sheath_Dress/img_00000008.jpg,catalog_like,sleeveless,0.2358214557170868,0.22157400846481323,0.01424744725227356,0.2509172558784485,0.23038658499717712,0.020530670881271362,0.21127569675445557,0.21623317897319794,-0.004957482218742371
sleeve,/content/deepfashion_data/img_highres/Abstract-Stripe_Fuzzy_Sweater/img_00000018.jpg,less_curated,long sleeve,0.2740904986858368,0.2528549134731293,0.02123558521270752,0.26745063066482544,0.2776899039745331,-0.010239273309707642,0.2451789677143097,0.22183658182621002,0.02334238588809967
sleeve,/content/deepfashion_data/img_highres/Abstract_Ikat_Print_Shorts/img_00000014.jpg,less_curated,sleeveless,0.2970167100429535,0.28803545236587524,0.008981257677078247,0.29939237236976624,0.28548312187194824,0.013909250497817993,0.22905422747135162,0.24800315499305725,-0.018948927521705627
sleeve,/content/deepfashion_data/img_highres/Side_Vent_Heathered_Tank/img_00000040.jpg,less_curated,sleeveless,0.28824087977409363,0.2999090850353241,-0.011668205261230469,0.31361550092697144,0.3041146397590637,0.009500861167907715,0.23758554458618164,0.22789674997329712,0.009688794612884521
